Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Dalam,3,SMA NEGERI 81,IPS,0
Dalam,3,SMA NEGERI 82,MIPA,3
Dalam,3,SMA NEGERI 82,IPS,3
Dalam,3,SMA NEGERI 83,MIPA,1
Dalam,3,SMA NEGERI 83,IPS,4
Dalam,3,SMA NEGERI 84,MIPA,0
Dalam,3,SMA NEGERI 84,IPS,1
Dalam,3,SMA NEGERI 84,BAHASA,0
Dalam,3,SMA NEGERI 85,MIPA,3
Dalam,3,SMA NEGERI 85,IPS,1
Dalam,3,SMA NEGERI 86,MIPA,0
Dalam,3,SMA NEGERI 86,IPS,3
Dalam,3,SMA NEGERI 87,MIPA,3
Dalam,3,SMA NEGERI 87,IPS,2
Dalam,3,SMA NEGERI 88,MIPA,1
Dalam,3,SMA NEGERI 88,IPS,0
Dalam,3,SMA NEGERI 89,MIPA,0
Dalam,3,SMA NEGERI 89,IPS,1
Dalam,3,SMA NEGERI 90,MIPA,1
Dalam,3,SMA NEGERI 90,IPS,0
Dalam,3,SMA NEGERI 93,MIPA,1
Dalam,3,SMA NEGERI 93,IPS,1
Dalam,3,SMA NEGERI 94,MIPA,1
Dalam,3,SMA NEGERI 94,IPS,0
Dalam,3,SMA NEGERI 96,IPA,2
Dalam,3,SMA NEGERI 96,IPS,4
Dalam,3,SMA NEGERI 97,MIPA,2
Dalam,3,SMA NEGERI 97,IPS,2
Dalam,3,SMA NEGERI 98,MIPA,2
Dalam,3,SMA NEGERI 98,IPS,0
Dalam,3,SMA NEGERI 99,MIPA,1
Dalam,3,SMA NEGERI 99,IPS,0
Dalam,3,SMA NEGERI 100,MIPA,2
Dalam,3,SMA NEGERI 100,IPS,5
Dalam,3,SMA NEGERI 101,MIPA,3
Dalam,3,SMA NEGERI 101,IPS,2
Dalam,3,SMA NEGERI 103,MIPA,0
Dalam,3,SMA NEGERI 103,IPS,1
Dalam,3,SMA NEGERI 104,MIPA,0
Dalam,3,SMA NEGERI 104,IPS,1
Dalam,3,SMA NEGERI 105,MIPA,1
Dalam,3,SMA NEGERI 105,IPS,1
Dalam,3,SMA NEGERI 107,MIPA,1
Dalam,3,SMA NEGERI 107,IPS,3
Dalam,3,SMA NEGERI 108,MIPA,2
Dalam,3,SMA NEGERI 108,IPS,2
Dalam,3,SMA NEGERI 109,MIPA,2
Dalam,3,SMA NEGERI 109,IPS,1
Dalam,3,SMA NEGERI 111,MIPA,11
Dalam,3,SMA NEGERI 111,IPS,11
Dalam,3,SMA NEGERI 112,MIPA,2
Dalam,3,SMA NEGERI 112,IPS,3
Dalam,3,SMA NEGERI 113,MIPA,0
Dalam,3,SMA NEGERI 113,IPS,1
Dalam,3,SMA NEGERI 113,BAHASA,0
Dalam,3,SMA NEGERI 114,MIPA,1
Dalam,3,SMA NEGERI 114,IPS,0
Dalam,3,SMA NEGERI 115,MIPA,6
Dalam,3,SMA NEGERI 115,IPS,1
