Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Jakarta,2018,Dalam,1,SMAN 45,IPS,90
Jakarta,2018,Dalam,1,SMAN 46,IPA,89
Jakarta,2018,Dalam,1,SMAN 46,IPS,109
Jakarta,2018,Dalam,1,SMAN 47,IPA,82
Jakarta,2018,Dalam,1,SMAN 47,IPS,84
Jakarta,2018,Dalam,1,SMAN 48,IPA,107
Jakarta,2018,Dalam,1,SMAN 48,IPS,66
Jakarta,2018,Dalam,1,SMAN 49,IPA,87
Jakarta,2018,Dalam,1,SMAN 49,IPS,44
Jakarta,2018,Dalam,1,SMAN 50,IPA,66
Jakarta,2018,Dalam,1,SMAN 50,IPS,89
Jakarta,2018,Dalam,1,SMAN 51,IPA,81
Jakarta,2018,Dalam,1,SMAN 51,IPS,77
Jakarta,2018,Dalam,1,SMAN 52,IPA,88
Jakarta,2018,Dalam,1,SMAN 52,IPS,88
Jakarta,2018,Dalam,1,SMAN 53,IPA,90
Jakarta,2018,Dalam,1,SMAN 53,IPS,67
Jakarta,2018,Dalam,1,SMAN 54,IPA,86
Jakarta,2018,Dalam,1,SMAN 54,IPS,80
Jakarta,2018,Dalam,1,SMAN 55,IPA,83
Jakarta,2018,Dalam,1,SMAN 55,IPS,85
Jakarta,2018,Dalam,1,SMAN 56,IPA,67
Jakarta,2018,Dalam,1,SMAN 56,IPS,64
Jakarta,2018,Dalam,1,SMAN 56,BAHASA,22
Jakarta,2018,Dalam,1,SMAN 57,IPA,67
Jakarta,2018,Dalam,1,SMAN 57,IPS,66
Jakarta,2018,Dalam,1,SMAN 58,IPA,89
Jakarta,2018,Dalam,1,SMAN 58,IPS,87
Jakarta,2018,Dalam,1,SMAN 59,IPA,89
Jakarta,2018,Dalam,1,SMAN 59,IPS,67
Jakarta,2018,Dalam,1,SMAN 60,IPA,88
Jakarta,2018,Dalam,1,SMAN 60,IPS,66
Jakarta,2018,Dalam,1,SMAN 61,IPA,86
Jakarta,2018,Dalam,1,SMAN 61,IPS,46
Jakarta,2018,Dalam,1,SMAN 62,IPA,66
Jakarta,2018,Dalam,1,SMAN 62,IPS,65
Jakarta,2018,Dalam,1,SMAN 63,IPA,61
Jakarta,2018,Dalam,1,SMAN 63,IPS,62
Jakarta,2018,Dalam,1,SMAN 64,IPA,62
Jakarta,2018,Dalam,1,SMAN 64,IPS,85
Jakarta,2018,Dalam,1,SMAN 65,IPA,87
Jakarta,2018,Dalam,1,SMAN 65,IPS,44
Jakarta,2018,Dalam,1,SMAN 66,IPA,83
Jakarta,2018,Dalam,1,SMAN 66,IPS,82
Jakarta,2018,Dalam,1,SMAN 67,IPA,68
Jakarta,2018,Dalam,1,SMAN 67,IPS,80
Jakarta,2018,Dalam,1,SMAN 68,IPA,105
Jakarta,2018,Dalam,1,SMAN 68,IPS,65
Jakarta,2018,Dalam,1,SMAN 70,IPA,147
Jakarta,2018,Dalam,1,SMAN 70,IPS,63
Jakarta,2018,Dalam,1,SMAN 71,IPA,86
Jakarta,2018,Dalam,1,SMAN 71,IPS,87
Jakarta,2018,Dalam,1,SMAN 72,IPA,62
Jakarta,2018,Dalam,1,SMAN 72,IPS,62
Jakarta,2018,Dalam,1,SMAN 72,BAHASA,21
Jakarta,2018,Dalam,1,SMAN 73,IPA,66
Jakarta,2018,Dalam,1,SMAN 73,IPS,67
Jakarta,2018,Dalam,1,SMAN 74,IPA,66
Jakarta,2018,Dalam,1,SMAN 74,IPS,89
Jakarta,2018,Dalam,1,SMAN 75,IPA,87
Jakarta,2018,Dalam,1,SMAN 75,IPS,64
Jakarta,2018,Dalam,1,SMAN 76,IPA,67
Jakarta,2018,Dalam,1,SMAN 76,IPS,67
Jakarta,2018,Dalam,1,SMAN 77,IPA,65
Jakarta,2018,Dalam,1,SMAN 77,IPS,65
Jakarta,2018,Dalam,1,SMAN 78,IPA,173
Jakarta,2018,Dalam,1,SMAN 78,IPS,43
Jakarta,2018,Dalam,1,SMAN 78,BAHASA,21
Jakarta,2018,Dalam,1,SMAN 79,IPA,82
Jakarta,2018,Dalam,1,SMAN 79,IPS,54
Jakarta,2018,Dalam,1,SMAN 80,IPA,89
Jakarta,2018,Dalam,1,SMAN 80,IPS,66
Jakarta,2018,Dalam,1,SMAN 81,IPA,152
Jakarta,2018,Dalam,1,SMAN 81,IPS,42
Jakarta,2018,Dalam,1,SMAN 82,IPA,64
Jakarta,2018,Dalam,1,SMAN 82,IPS,63
Jakarta,2018,Dalam,1,SMAN 83,IPA,65
Jakarta,2018,Dalam,1,SMAN 83,IPS,91
Jakarta,2018,Dalam,1,SMAN 84,IPA,65
Jakarta,2018,Dalam,1,SMAN 84,IPS,63
Jakarta,2018,Dalam,1,SMAN 84,BAHASA,20
Jakarta,2018,Dalam,1,SMAN 85,IPA,87
Jakarta,2018,Dalam,1,SMAN 85,IPS,62
Jakarta,2018,Dalam,1,SMAN 86,IPA,66
Jakarta,2018,Dalam,1,SMAN 86,IPS,65
Jakarta,2018,Dalam,1,SMAN 87,IPA,87
Jakarta,2018,Dalam,1,SMAN 87,IPS,66
Jakarta,2018,Dalam,1,SMAN 88,IPA,45
Jakarta,2018,Dalam,1,SMAN 88,IPS,90
Jakarta,2018,Dalam,1,SMAN 89,IPA,89
Jakarta,2018,Dalam,1,SMAN 89,IPS,87
Jakarta,2018,Dalam,1,SMAN 90,IPA,106
Jakarta,2018,Dalam,1,SMAN 90,IPS,84
Jakarta,2018,Dalam,1,SMAN 91,IPA,63
Jakarta,2018,Dalam,1,SMAN 91,IPS,63
Jakarta,2018,Dalam,1,SMAN 92,IPA,64
Jakarta,2018,Dalam,1,SMAN 92,IPS,89
Jakarta,2018,Dalam,1,SMAN 92,BAHASA,22
Jakarta,2018,Dalam,1,SMAN 93,IPA,83
Jakarta,2018,Dalam,1,SMAN 93,IPS,52
Jakarta,2018,Dalam,1,SMAN 94,IPA,67
Jakarta,2018,Dalam,1,SMAN 94,IPS,66
Jakarta,2018,Dalam,1,SMAN 95,IPA,88
Jakarta,2018,Dalam,1,SMAN 95,IPS,85
Jakarta,2018,Dalam,1,SMAN 95,BAHASA,21
Jakarta,2018,Dalam,1,SMAN 96,IPA,64
Jakarta,2018,Dalam,1,SMAN 96,IPS,87
Jakarta,2018,Dalam,1,SMAN 97,IPA,63
Jakarta,2018,Dalam,1,SMAN 97,IPS,125
Jakarta,2018,Dalam,1,SMAN 98,IPA,107
Jakarta,2018,Dalam,1,SMAN 98,IPS,79
Jakarta,2018,Dalam,1,SMAN 99,IPA,129
Jakarta,2018,Dalam,1,SMAN 99,IPS,85
Jakarta,2018,Dalam,1,SMAN 100,IPA,67
Jakarta,2018,Dalam,1,SMAN 100,IPS,67
Jakarta,2018,Dalam,1,SMAN 101,IPA,82
Jakarta,2018,Dalam,1,SMAN 101,IPS,82
Jakarta,2018,Dalam,1,SMAN 102,IPA,68
Jakarta,2018,Dalam,1,SMAN 102,IPS,68
Jakarta,2018,Dalam,1,SMAN 103,IPA,65
Jakarta,2018,Dalam,1,SMAN 103,IPS,90
Jakarta,2018,Dalam,1,SMAN 104,IPA,112
Jakarta,2018,Dalam,1,SMAN 104,IPS,64
Jakarta,2018,Dalam,1,SMAN 105,IPA,88
Jakarta,2018,Dalam,1,SMAN 105,IPS,64
Jakarta,2018,Dalam,1,SMAN 106,IPA,66
Jakarta,2018,Dalam,1,SMAN 106,IPS,86
Jakarta,2018,Dalam,1,SMAN 107,IPA,65
Jakarta,2018,Dalam,1,SMAN 107,IPS,89
Jakarta,2018,Dalam,1,SMAN 108,IPA,66
Jakarta,2018,Dalam,1,SMAN 108,IPS,44
Jakarta,2018,Dalam,1,SMAN 109,IPA,88
Jakarta,2018,Dalam,1,SMAN 109,IPS,65
Jakarta,2018,Dalam,1,SMAN 110,IPA,64
Jakarta,2018,Dalam,1,SMAN 110,IPS,87
Jakarta,2018,Dalam,1,SMAN 110,BAHASA,21
Jakarta,2018,Dalam,1,SMAN 111,IPA,43
Jakarta,2018,Dalam,1,SMAN 111,IPS,89
Jakarta,2018,Dalam,1,SMAN 112,IPA,104
Jakarta,2018,Dalam,1,SMAN 112,IPS,38
Jakarta,2018,Dalam,1,SMAN 113,IPA,111
Jakarta,2018,Dalam,1,SMAN 113,IPS,88
Jakarta,2018,Dalam,1,SMAN 113,BAHASA,23
Jakarta,2018,Dalam,1,SMAN 114,IPA,44
Jakarta,2018,Dalam,1,SMAN 114,IPS,65
Jakarta,2018,Dalam,1,SMAN 115,IPA,67
Jakarta,2018,Dalam,1,SMAN 115,IPS,67
Jakarta,2017,Dalam,1,SMAN 1,IPA,50
Jakarta,2017,Dalam,1,SMAN 1,IPS,50
Jakarta,2017,Dalam,1,SMAN 2,IPA,50
Jakarta,2017,Dalam,1,SMAN 2,IPS,38
Jakarta,2017,Dalam,1,SMAN 3,IPA,63
Jakarta,2017,Dalam,1,SMAN 3,IPS,49
Jakarta,2017,Dalam,1,SMAN 4,IPA,37
Jakarta,2017,Dalam,1,SMAN 4,IPS,12
Jakarta,2017,Dalam,1,SMAN 4,BAHASA,12
Jakarta,2017,Dalam,1,SMAN 5,IPA,50
Jakarta,2017,Dalam,1,SMAN 5,IPS,50
Jakarta,2017,Dalam,1,SMAN 6,IPA,60
Jakarta,2017,Dalam,1,SMAN 6,IPS,47
Jakarta,2017,Dalam,1,SMAN 7,IPA,38
Jakarta,2017,Dalam,1,SMAN 7,IPS,25
Jakarta,2017,Dalam,1,SMAN 8,IPA,121
Jakarta,2017,Dalam,1,SMAN 8,IPS,16
Jakarta,2017,Dalam,1,SMAN 9,IPA,56
Jakarta,2017,Dalam,1,SMAN 9,IPS,41
Jakarta,2017,Dalam,1,SMAN 10,IPA,25
Jakarta,2017,Dalam,1,SMAN 10,IPS,37
Jakarta,2017,Dalam,1,SMAN 11,IPA,37
Jakarta,2017,Dalam,1,SMAN 11,IPS,37
Jakarta,2017,Dalam,1,SMAN 12,IPA,48
Jakarta,2017,Dalam,1,SMAN 12,IPS,47
Jakarta,2017,Dalam,1,SMAN 13,IPA,68
Jakarta,2017,Dalam,1,SMAN 13,IPS,41
Jakarta,2017,Dalam,1,SMAN 14,IPA,63
Jakarta,2017,Dalam,1,SMAN 14,IPS,25
Jakarta,2017,Dalam,1,SMAN 15,IPA,36
Jakarta,2017,Dalam,1,SMAN 15,IPS,36
Jakarta,2017,Dalam,1,SMAN 16,IPA,50
Jakarta,2017,Dalam,1,SMAN 16,IPS,37
