Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Indikator,Nilai
Jakarta,2018,Dalam,2,SMAN 14,IPS,Terendah,73
Jakarta,2018,Dalam,2,SMAN 14,IPS,Tertinggi,84.88
Jakarta,2018,Dalam,2,SMAN 14,IPS,Rata-rata,75.94
Jakarta,2018,Dalam,2,SMAN 15,IPA,Terendah,60.25
Jakarta,2018,Dalam,2,SMAN 15,IPA,Tertinggi,70.38
Jakarta,2018,Dalam,2,SMAN 15,IPA,Rata-rata,61.73
Jakarta,2018,Dalam,2,SMAN 15,IPS,Terendah,60
Jakarta,2018,Dalam,2,SMAN 15,IPS,Tertinggi,64.25
Jakarta,2018,Dalam,2,SMAN 15,IPS,Rata-rata,60.87
Jakarta,2018,Dalam,2,SMAN 16,IPA,Terendah,66.13
Jakarta,2018,Dalam,2,SMAN 16,IPA,Tertinggi,80.75
Jakarta,2018,Dalam,2,SMAN 16,IPA,Rata-rata,70.77
Jakarta,2018,Dalam,2,SMAN 16,IPS,Terendah,65.75
Jakarta,2018,Dalam,2,SMAN 16,IPS,Tertinggi,74
Jakarta,2018,Dalam,2,SMAN 16,IPS,Rata-rata,68.09
Jakarta,2018,Dalam,2,SMAN 17,IPA,Terendah,60.88
Jakarta,2018,Dalam,2,SMAN 17,IPA,Tertinggi,71.25
Jakarta,2018,Dalam,2,SMAN 17,IPA,Rata-rata,62.78
Jakarta,2018,Dalam,2,SMAN 17,IPS,Terendah,60.75
Jakarta,2018,Dalam,2,SMAN 17,IPS,Tertinggi,70.13
Jakarta,2018,Dalam,2,SMAN 17,IPS,Rata-rata,62.92
Jakarta,2018,Dalam,2,SMAN 18,IPA,Terendah,62.38
Jakarta,2018,Dalam,2,SMAN 18,IPA,Tertinggi,78.75
Jakarta,2018,Dalam,2,SMAN 18,IPA,Rata-rata,66.23
Jakarta,2018,Dalam,2,SMAN 18,IPS,Terendah,60.5
Jakarta,2018,Dalam,2,SMAN 18,IPS,Tertinggi,70.38
Jakarta,2018,Dalam,2,SMAN 18,IPS,Rata-rata,61.91
Jakarta,2018,Dalam,2,SMAN 18,BAHASA,Terendah,59.5
Jakarta,2018,Dalam,2,SMAN 18,BAHASA,Tertinggi,60.75
Jakarta,2018,Dalam,2,SMAN 18,BAHASA,Rata-rata,60.03
Jakarta,2018,Dalam,2,SMAN 19,IPA,Terendah,74.25
Jakarta,2018,Dalam,2,SMAN 19,IPA,Tertinggi,82.88
Jakarta,2018,Dalam,2,SMAN 19,IPA,Rata-rata,78.34
