Provinsi,Domisili,Tahun,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Jakarta,Dalam,2018,1,SMA NEGERI 11,IPS,Pilihan 2,71
Jakarta,Dalam,2018,1,SMA NEGERI 11,IPS,Pilihan 3,98
Jakarta,Dalam,2018,1,SMA NEGERI 12,IPA,Pilihan 1,119
Jakarta,Dalam,2018,1,SMA NEGERI 12,IPA,Pilihan 2,122
Jakarta,Dalam,2018,1,SMA NEGERI 12,IPA,Pilihan 3,92
Jakarta,Dalam,2018,1,SMA NEGERI 12,IPS,Pilihan 1,119
Jakarta,Dalam,2018,1,SMA NEGERI 12,IPS,Pilihan 2,122
Jakarta,Dalam,2018,1,SMA NEGERI 12,IPS,Pilihan 3,92
Jakarta,Dalam,2018,1,SMA NEGERI 13,IPA,Pilihan 1,405
Jakarta,Dalam,2018,1,SMA NEGERI 13,IPA,Pilihan 2,51
Jakarta,Dalam,2018,1,SMA NEGERI 13,IPA,Pilihan 3,21
Jakarta,Dalam,2018,1,SMA NEGERI 13,IPS,Pilihan 1,405
Jakarta,Dalam,2018,1,SMA NEGERI 13,IPS,Pilihan 2,51
Jakarta,Dalam,2018,1,SMA NEGERI 13,IPS,Pilihan 3,21
Jakarta,Dalam,2018,1,SMA NEGERI 14,IPA,Pilihan 1,178
Jakarta,Dalam,2018,1,SMA NEGERI 14,IPA,Pilihan 2,102
Jakarta,Dalam,2018,1,SMA NEGERI 14,IPA,Pilihan 3,75
Jakarta,Dalam,2018,1,SMA NEGERI 14,IPS,Pilihan 1,178
Jakarta,Dalam,2018,1,SMA NEGERI 14,IPS,Pilihan 2,102
Jakarta,Dalam,2018,1,SMA NEGERI 14,IPS,Pilihan 3,75
Jakarta,Dalam,2018,1,SMA NEGERI 15,IPA,Pilihan 1,77
Jakarta,Dalam,2018,1,SMA NEGERI 15,IPA,Pilihan 2,114
Jakarta,Dalam,2018,1,SMA NEGERI 15,IPA,Pilihan 3,154
Jakarta,Dalam,2018,1,SMA NEGERI 15,IPS,Pilihan 1,77
Jakarta,Dalam,2018,1,SMA NEGERI 15,IPS,Pilihan 2,114
Jakarta,Dalam,2018,1,SMA NEGERI 15,IPS,Pilihan 3,154
Jakarta,Dalam,2018,1,SMA NEGERI 16,IPA,Pilihan 1,128
Jakarta,Dalam,2018,1,SMA NEGERI 16,IPA,Pilihan 2,113
Jakarta,Dalam,2018,1,SMA NEGERI 16,IPA,Pilihan 3,102
Jakarta,Dalam,2018,1,SMA NEGERI 16,IPS,Pilihan 1,128
Jakarta,Dalam,2018,1,SMA NEGERI 16,IPS,Pilihan 2,113
Jakarta,Dalam,2018,1,SMA NEGERI 16,IPS,Pilihan 3,102
Jakarta,Dalam,2018,1,SMA NEGERI 17,IPA,Pilihan 1,108
Jakarta,Dalam,2018,1,SMA NEGERI 17,IPA,Pilihan 2,89
Jakarta,Dalam,2018,1,SMA NEGERI 17,IPA,Pilihan 3,95
Jakarta,Dalam,2018,1,SMA NEGERI 17,IPS,Pilihan 1,108
Jakarta,Dalam,2018,1,SMA NEGERI 17,IPS,Pilihan 2,89
Jakarta,Dalam,2018,1,SMA NEGERI 17,IPS,Pilihan 3,95
Jakarta,Dalam,2018,1,SMA NEGERI 18,IPA,Pilihan 1,102
Jakarta,Dalam,2018,1,SMA NEGERI 18,IPA,Pilihan 2,96
Jakarta,Dalam,2018,1,SMA NEGERI 18,IPA,Pilihan 3,89
Jakarta,Dalam,2018,1,SMA NEGERI 18,IPS,Pilihan 1,102
Jakarta,Dalam,2018,1,SMA NEGERI 18,IPS,Pilihan 2,96
Jakarta,Dalam,2018,1,SMA NEGERI 18,IPS,Pilihan 3,89
Jakarta,Dalam,2018,1,SMA NEGERI 18,BAHASA,Pilihan 1,102
Jakarta,Dalam,2018,1,SMA NEGERI 18,BAHASA,Pilihan 2,96
Jakarta,Dalam,2018,1,SMA NEGERI 18,BAHASA,Pilihan 3,89
Jakarta,Dalam,2018,1,SMA NEGERI 19,IPA,Pilihan 1,75
