Tahun,Kode Provinsi,Provinsi,Kode Kabupaten/Kota,Kabupaten/Kota,Jabatan,Calon,Jenis Kelamin,Partai Pendukung,Vote (%)
2018,32,Jawa Barat,3273,Kota Bandung,Walikota,Nurul Arifin,Wanita,"PKB, Demokrat, Golkar",22.4
2018,32,Jawa Barat,3273,Kota Bandung,Wakil Walikota,Chairul Yaqin Hidayat,Pria,"PKB, Demokrat, Golkar",22.4
2018,32,Jawa Barat,3273,Kota Bandung,Walikota,Yossi Irianto,Pria,"NasDem, Hanura, PDIP, PPP",26.2
2018,32,Jawa Barat,3273,Kota Bandung,Wakil Walikota,Aries Supriatna,Pria,"NasDem, Hanura, PDIP, PPP",26.2
2018,32,Jawa Barat,3273,Kota Bandung,Walikota,Oded Muhammad Danial,Pria,"Gerindra, PKS",51.4
2018,32,Jawa Barat,3273,Kota Bandung,Wakil Walikota,Yana Mulyana,Pria,"Gerindra, PKS",51.4
