Nomor,Tahun,Daerah,,Persentase Suara (%),No Pasangan,Jabatan,Nama,,Jumlah Suara,Persentase Suara (%),,wakil,,,,,
13,2018,Provinsi Riau,,15.91,2,Gubernur,"Muhamad Lukman Edy, M.Si",,35979,15.91,,FALSE,1,,,,
13,2018,Provinsi Riau,,19.27,3,Gubernur,"Dr. H. Firdaus, St.Mt",,435725,19.27,Menang,FALSE,1,Menang,Menang,,
13,2018,Provinsi Riau,Menang,32.96,4,Gubernur,"Ir. H. Arsyadjuliandi Rahman, Mba",Menang,745389,32.96,Menang,FALSE,1,Menang,Menang,,
14,2018,Provinsi Sulawesi Selatan,,27.36,1,Gubernur,H. A. M. Nurdin Halid,,1153814,27.36,Menang,FALSE,0,Menang,Menang,,
14,2018,Provinsi Sulawesi Selatan,,10.03,2,Gubernur,"Ir. H. Agus Arifin Nu'Mang, Ms",,422889,10.03,,FALSE,1,,,,
14,2018,Provinsi Sulawesi Selatan,Menang,43.27,3,Gubernur,"Prof. Dr. Ir. H. M. Nurdin Abdullah, M.Agr.",Menang,1824516,43.27,Menang,FALSE,1,Menang,Menang,,
14,2018,Provinsi Sulawesi Selatan,,19.34,4,Gubernur,"H. Ichsan Yasin Limpo, Sh, Mh",,815316,19.34,,FALSE,1,,,,
15,2018,Provinsi Sulawesi Tenggara,Menang,43.64,1,Gubernur,"H. Ali Mazi, Sh",Menang,495283,43.64,Menang,FALSE,0,Menang,Menang,,
15,2018,Provinsi Sulawesi Tenggara,,24.75,2,Gubernur,"Dr.Ir.H. Asrun, M.Eng.,Sc",,280834,24.75,,FALSE,1,,,,
15,2018,Provinsi Sulawesi Tenggara,,31.61,3,Gubernur,Rusda Mahmud,,358763,31.61,Menang,FALSE,1,Menang,Menang,,
16,2018,Provinsi Sumatera Selatan,,29.57,1,Gubernur,"H. Herman Deru, Sh, Mm",,776988,29.57,Menang,FALSE,0,Menang,Menang,,
16,2018,Provinsi Sumatera Selatan,,10.2,2,Gubernur,"H. Saifudin Aswari Riva'I, S.E",,268144,10.2,,FALSE,1,,,,
16,2018,Provinsi Sumatera Selatan,,16.7,3,Gubernur,"Ir. H. Ishak Mekki, Mm",,438839,16.7,Menang,FALSE,1,Menang,Menang,,
16,2018,Provinsi Sumatera Selatan,Menang,43.52,4,Gubernur,"H. Dodi Reza Alex Noerdin, Lic, Econ. Mba",Menang,1143617,43.52,Menang,FALSE,1,Menang,Menang,,
17,2018,Provinsi Sumatera Utara,Menang,57.41,1,Gubernur,Edy Rahmayadi,Menang,3234017,57.41,Menang,FALSE,0,Menang,Menang,,
17,2018,Provinsi Sumatera Utara,,42.59,2,Gubernur,Djarot Saiful Hidayat,,2399218,42.59,,FALSE,1,,,,
18,2018,Kabupaten Aceh Selatan,,4.47,1,Bupati,"Tgk. Husin Yusuf, S.Pd.I",,5796,4.47,,FALSE,0,,,,
18,2018,Kabupaten Aceh Selatan,Menang,35.66,2,Bupati,"H. Azwir, S. Sos",Menang,46291,35.66,Menang,FALSE,1,Menang,Menang,,
18,2018,Kabupaten Aceh Selatan,,1.08,3,Bupati,"Drs. H. Zulkarnaini, M. Si",,1396,1.08,,FALSE,1,,,,
18,2018,Kabupaten Aceh Selatan,,1.3,4,Bupati,"Darman, Sp, M.M.",,1693,1.3,Menang,FALSE,1,Menang,Menang,,
18,2018,Kabupaten Aceh Selatan,,28.79,5,Bupati,"H. T. Sama Indra, Sh",,37372,28.79,Menang,FALSE,1,Menang,Menang,,
18,2018,Kabupaten Aceh Selatan,,25.99,6,Bupati,"H. Mirwan Ms, Se",,33739,25.99,,FALSE,1,,,,
18,2018,Kabupaten Aceh Selatan,,2.71,7,Bupati,"H. Karman, Se",,352,2.71,,FALSE,1,,,,
19,2018,Kota Subulussalam,,0.3,1,Walikota,Drh. Jalaluddin,,139,0.3,,FALSE,0,,,,
19,2018,Kota Subulussalam,,29.68,2,Walikota,"Hj. Sartina, Na, Se. M.Si",,13673,29.68,Menang,FALSE,1,Menang,Menang,,
19,2018,Kota Subulussalam,,25.97,3,Walikota,"H. Asmauddin, Se",,11962,25.97,,FALSE,1,,,,
19,2018,Kota Subulussalam,,2.64,4,Walikota,"H. Anasri, St. Mt",,1214,2.64,,FALSE,1,,,,
19,2018,Kota Subulussalam,Menang,41.41,5,Walikota,"H. Affan Alfian, Se",Menang,19073,41.41,Menang,FALSE,1,Menang,Menang,,
20,2018,Kabupaten Pidie Jaya,,29.62,1,Bupati,Ir. H. Yusri Yusuf,,23543,29.62,,FALSE,0,,,,
20,2018,Kabupaten Pidie Jaya,Menang,51.51,2,Bupati,Aiyub Bin Abbas,Menang,40945,51.51,Menang,FALSE,1,Menang,Menang,,
20,2018,Kabupaten Pidie Jaya,,11.31,3,Bupati,Muhibbuddin M.Husen,,8987,11.31,,FALSE,1,,,,
20,2018,Kabupaten Pidie Jaya,,7.57,4,Bupati,Muhammad Yusuf,,6014,7.57,,FALSE,1,,,,
21,2018,Kabupaten Gianyar,,32.96,1,Bupati,"Tjokorda Raka Kerthyasa, S.Sos., M.Si.",,94666,32.96,,FALSE,0,,,,
