Kode,Provinsi,Kabupaten,Bulan,Tahun,Bahasa Indonesia,Bahasa Inggris,Matematika
6107,Kalimantan Barat,Sintang,12,2017,62.85,32.48,29.9
6307,Kalimantan Selatan,Hulu Sungai Tengah,12,2017,62.17,37.12,31.58
6308,Kalimantan Selatan,Hulu Sungai Utara,12,2017,64.07,38.18,33.97
6302,Kalimantan Selatan,Baru,12,2017,63.45,40.87,35.52
6305,Kalimantan Selatan,Tapin,12,2017,62.53,37.34,31.73
6201,Kalimantan Tengah,Kotawaringin Barat,12,2017,62.65,33.68,29.61
6206,Kalimantan Tengah,Sukamara,12,2017,61.99,34.29,42.33
6411,Kalimantan Timur,Mahakam Ulu,12,2017,71.34,55.45,59.14
2105,Kepulauan Riau,Kepulauan Anambas,12,2017,60.6,33.35,31.19
2104,Kepulauan Riau,Lingga,12,2017,64.44,36.53,34.34
2103,Kepulauan Riau,Natuna,12,2017,61.3,35.43,30.82
1801,Lampung,Lampung Barat,12,2017,66.76,40.39,36.63
1811,Lampung,Mesuji,12,2017,61.04,34.51,30.03
1809,Lampung,Pesawaran,12,2017,60.52,34.79,30.68
1813,Lampung,Pesisir Barat,12,2017,55.19,31.12,28.41
1812,Lampung,Tulang Bawang Barat,12,2017,61.26,31.64,28.31
8104,Maluku,Buru,12,2017,57.33,63.38,58.83
8105,Maluku,Kepulauan Aru,12,2017,38.98,30.72,24.75
8108,Maluku,Maluku Barat Daya,12,2017,51.51,46.84,51.68
8107,Maluku,Seram Bagian Timur,12,2017,62.42,64.08,62.33
8172,Maluku,Tual,12,2017,40.2,39.51,34.59
8208,Maluku Utara,Pulau Taliabu,12,2017,56.42,52.01,62.33
5308,Nusa Tenggara Timur,Lembata,12,2017,62.13,37.84,32.99
5321,Nusa Tenggara Timur,Malaka,12,2017,49.45,45.09,39.31
5312,Nusa Tenggara Timur,Ngada,12,2017,52.54,41.32,31.32
5320,Nusa Tenggara Timur,Sabu Raijua,12,2017,42.89,27.94,22.23
5317,Nusa Tenggara Timur,Sumba Barat Daya,12,2017,51.14,48.48,39.38
5305,Nusa Tenggara Timur,Timor Tengah Utara,12,2017,47.37,38.2,27.5
9415,Papua,Asmat,12,2017,51.8,55.7,62
9413,Papua,Boven Digoel,12,2017,54.6,55.08,45.55
9436,Papua,Deiyai,12,2017,29.13,42.55,52.14
9434,Papua,Dogiyai,12,2017,57.44,66.52,68.23
9402,Papua,Jaya Wijaya,12,2017,53.61,54.64,53.77
9403,Papua,Jayapura,12,2017,46.63,35.14,27.75
9420,Papua,Keerom,12,2017,56.12,39.55,44.21
9430,Papua,Lanny Jaya,12,2017,56.24,59.58,38.26
9414,Papua,Mappi,12,2017,27.07,29.62,24.3
9401,Papua,Merauke,12,2017,47.75,39.48,34.62
9410,Papua,Paniai,12,2017,46.98,62.99,72.01
9417,Papua,Pegunungan Bintang,12,2017,29.83,34.98,25
9433,Papua,Puncak,12,2017,74.7,59.9,76.75
9411,Papua,Puncak Jaya,12,2017,43.08,49.44,44.11
9419,Papua,Sarmi,12,2017,38.8,46.9,70.13
9427,Papua,Supiori,12,2017,37.23,40.92,25.96
9418,Papua,Tolikara,12,2017,59.12,56.64,23.2
9426,Papua,Waropen,12,2017,59.51,54.09,58.96
9416,Papua,Yahukimo,12,2017,41.55,55.2,50.04
9432,Papua,Yalimo,12,2017,64.47,48.34,61.13
9101,Papua Barat,Fak-Fak,12,2017,52.2,38.27,40.36
9102,Papua Barat,Kaimana,12,2017,47.89,36.17,32.1
9105,Papua Barat,Manokwari,12,2017,58.39,46.29,45.81
9111,Papua Barat,Manokwari Selatan,12,2017,38.44,26.67,20
9110,Papua Barat,Maybrat,12,2017,43.76,36.12,68.09
9108,Papua Barat,Raja Ampat,12,2017,55.33,53.02,60.71
9106,Papua Barat,Sorong Selatan,12,2017,52.67,52.22,47.68
9109,Papua Barat,Tambrauw,12,2017,50.05,48.05,23.13
9104,Papua Barat,Teluk Bintuni,12,2017,56.68,33.27,28.74
9103,Papua Barat,Teluk Wondama,12,2017,57.88,54.73,43.84
9171,Papua Barat,Sorong,12,2017,57.74,47.87,53.43
7211,Sulawesi Tengah,Banggai Laut,12,2017,63.88,51.2,46.18
7401,Sulawesi Tenggara,Buton,12,2017,52.73,45.57,34.24
7415,Sulawesi Tenggara,Buton Selatan,12,2017,51.82,43.54,42.24
7414,Sulawesi Tenggara,Buton Tengah,12,2017,56.27,50.66,41.09
7408,Sulawesi Tenggara,Kolaka Utara,12,2017,58.08,50.38,46.16
7412,Sulawesi Tenggara,Konawe Kepulauan,12,2017,69.78,68.71,63.58
7110,Sulawesi Utara,Bolaang Mongondow Selatan,12,2017,45.08,34.01,24.15
7111,Sulawesi Utara,Bolaang Mongondow Timur,12,2017,54.51,45.6,35.76
7107,Sulawesi Utara,Bolaang Mongondow Utara,12,2017,52.44,42.47,27.33
7108,Sulawesi Utara,Kepulauan Sitaro,12,2017,63.43,55.22,57.98
1611,Sumatera Selatan,Empat Lawang,12,2017,53.91,30.15,26.48
1613,Sumatera Selatan,Musi Rawas Utara,12,2017,58.92,30.99,31.41
1612,Sumatera Selatan,Penukal Abab Lematang Ilir,12,2017,55.49,33.49,35.3
1210,Sumatera Utara,Dairi,12,2017,57.39,34.79,32.42
1215,Sumatera Utara,Humbang Hasudutan,12,2017,55.38,32.05,27.51
1207,Sumatera Utara,Labuhan Batu,12,2017,63.51,49.92,59.32
1222,Sumatera Utara,Labuhan Batu Selatan,12,2017,59.89,44.37,40.26
1213,Sumatera Utara,Langkat,12,2017,58.21,39.94,40.24
1201,Sumatera Utara,Nias,12,2017,52.71,44.86,40.28
1225,Sumatera Utara,Nias Barat,12,2017,66.09,57.72,62.59
1214,Sumatera Utara,Nias Selatan,12,2017,58.36,55.63,56.67
1224,Sumatera Utara,Nias Utara,12,2017,59.83,54.05,58.19
1221,Sumatera Utara,Padang Lawas,12,2017,56.26,33.17,32.91
1217,Sumatera Utara,Samosir,12,2017,61.41,49.33,47.95
1209,Sumatera Utara,Simalungun,12,2017,58.3,40.57,36.51
1204,Sumatera Utara,Tapanuli Tengah,12,2017,57.5,35.16,32.41
1271,Sumatera Utara,Sibolga,12,2017,59.98,33.94,30.88
1272,Sumatera Utara,Tanjung Balai,12,2017,55.49,41.27,40.67
9112,Papua Barat,Pegunungan Arfak,12,2017,0,0,0
9429,Papua,Nduga,12,2017,0,0,0
6503,Kalimantan Utara,Tana Tidung,12,2017,0,0,0
9435,Papua,Intan Jaya,12,2017,0,0,0
9428,Papua,Memberamo Raya,12,2017,0,0,0
9431,Papua,Membramo Tengah,12,2017,0,0,0
