nama_kantor,wilayah_administrasi,kecamatan,kelurahan,alamat_kantor,latitude,longitude,telepon,faxsimile
Kantor Lurah Gondangdia,Jakarta Pusat,Kec. Menteng,Kel. Gondangdia,Jl. Jambu No. 2 A RT.005/002,-6.190339,106.834598,021 3106333,021 31931936
Kantor Lurah Menteng,Jakarta Pusat,Kec. Menteng,Kel. Menteng,Jl. Anyer Raya No.9A,-6.203824,106.844943,021 3141626,021 3141626
Kantor Lurah Pegangsaan,Jakarta Pusat,Kec. Menteng,Kel. Pegangsaan  ,Jl. Taman Amir Hamzah No.1,-6.204021,106.850397,021 3159508,021 3904656
Kantor Lurah Cikini,Jakarta Pusat,Kec. Menteng,Kel. Cikini,Jl. Cikini VIII No. 7,-6.188992,106.839372,021 31923530,021 31923530
Kantor Camat Tanah Abang,Jakarta Pusat,Kec. Tanah Abang,Kel. Kebon Melati,Jl.K.H. Mas Mansyur No.130 ,-6.199643,106.814722,021 3106105,021 3106105
Kantor Lurah Kampung Bali,Jakarta Pusat,Kec. Tanah Abang,Kel. Kampung Bali,Jl. Kampung Bali V No. 8 RT.004/08,-6.184303,106.817861,021 3927391,021 3927391
Kantor Lurah Kebon Kacang,Jakarta Pusat,Kec. Tanah Abang,Kel. Kebon Kacang,Jalan K.H. Mas Mansyur No. 30,-6.190918,106.814796,021 31905701,021 3903328
Kantor Lurah Kebon Melati,Jakarta Pusat,Kec. Tanah Abang,Kel. Kebon Melati,Jl. Lontar Raya No. 3 RT.01 RW.14 ,-6.191275,106.812685,021 3144657,021 3144657
Kantor Lurah Karet Tengsin,Jakarta Pusat,Kec. Tanah Abang,Kel. Karet Tengsin,Jl. Karet Pasar Baru Barat VII,-6.212139,106.815364,021 5703057,021 5703057
Kantor Lurah Bendungan Hilir,Jakarta Pusat,Kec. Tanah Abang,Kel. Bendungan Hilir,Jl. Penjernihan 1 No. 29 B RT.010/06 ,-6.20224,106.806677,021 5711866,021 572 7814
Kantor Lurah Petamburan,Jakarta Pusat,Kec. Tanah Abang,Kel. Petamburan,Jalan Petamburan II No. 50,-6.193051,106.807929,021 53679869,021 53679869
Kantor Lurah Gelora,Jakarta Pusat,Kec. Tanah Abang,Kel. Gelora,Jl. Gerbang Pemuda No. 1,-6.213956,106.798202,021 5732465,021 5747986
Kantor Camat Johar Baru,Jakarta Pusat,Kec. Johar Baru,Kel. Johar Baru,Jl.Johar Baru Utara V No.1 ,-6.178947,106.856909,021 214211592,021 214211592
Kantor Lurah Johar Baru,Jakarta Pusat,Kec. Johar Baru,Kel. Johar Baru,Jl. Johar Baru Utara II RT.003/03,-6.183287,106.856429,021 4244245,021 4229333
Kantor Lurah Galur,Jakarta Pusat,Kec. Johar Baru,Kel. Galur,Jl. Galur Jaya No.36 RT.001/04,-6.176375,106.856039,021 42885048,021 4228555
Kantor Lurah Tanah Tinggi,Jakarta Pusat,Kec. Johar Baru,Kel. Tanah Tinggi,Jl.Kramat Pulo Gundul No.123 RT.006 RW.013,-6.183925,106.849222,021 4206200,021 4228666
Kantor Lurah Kampung Rawa,Jakarta Pusat,Kec. Johar Baru,Kel. Kampung Rawa,Jl. Rawa Selatan III No. 39 RT 004/05,-6.181025,106.858917,021 4206024,021 4228788
Kantor Walikota Jakarta Selatan,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Petogogan,"Jalan Prapanca Raya No. 9, RT.01 / RW.01",-6.248021,106.807372,021 72786651,021 72786652
Kantor Camat Setiabudi,Jakarta Selatan,Kec. Setiabudi,Kel. Setiabudi,Jl. Setibudi Barat Nomor 8L RT. 003 RW.03 ,-6.208303,106.824064,021 525 0156,021 525 4109
Kantor Lurah Guntur,Jakarta Selatan,Kec. Setiabudi,Kel. Guntur,Jl. Tangkuban Perahu No. 2 Kel. Guntur,-6.207128,106.833992,021 8319684,021 8319684
Kantor Lurah Setiabudi,Jakarta Selatan,Kec. Setiabudi,Kel. Setiabudi,Jl. Setiabudi Barat No. 8 L,-6.208306,106.823895,021 5731814,021 5731814
Kantor Lurah Menteng Atas,Jakarta Selatan,Kec. Setiabudi,Kel. Menteng Atas,Jl. Menteng Pulo No. 1,-6.221831,106.83863,021 83784166,021 83784166
Kantor Lurah Karet Kuningan,Jakarta Selatan,Kec. Setiabudi,Kel. Karet Kuningan,Jl. Anggrek IV RT 006/02,-6.218649,106.824995,021 5273653,021 5273653
Kantor Lurah Pasar Manggis,Jakarta Selatan,Kec. Setiabudi,Kel. Pasar Manggis,Jl. Menteng Wadas Timur No.122,-6.209991,106.842042,021 8319683,021 8319683
Kantor Lurah Kuningan Timur,Jakarta Selatan,Kec. Setiabudi,Kel. Kuningan Timur,Jl. Mega Kuningan Barat III,-6.231713,106.825537,021 5253868,021 5253868
Kantor Lurah Karet,Jakarta Selatan,Kec. Setiabudi,Kel. Karet  ,Jl. Karet Karya I No. 1 RT 005/007,-6.210916,106.825974,021 5254628,021 5254628
Kantor Lurah Karet Semanggi,Jakarta Selatan,Kec. Setiabudi,Kel. Karet Semanggi,Jl K.H Guru Mughni No. 1,-6.225741,106.821197,021 5722241,021 5722241
Kantor Camat Tebet,Jakarta Selatan,Kec. Tebet,Kel. Tebet Barat,Jl. Prof. Dr. Soepomo No. 16,-6.231552,106.845882,021 8303260,021 8298971
Kantor Lurah Manggarai,Jakarta Selatan,Kec. Tebet,Kel. Manggarai  ,Jl. Lap. Menara Air II RT 007 RW 011,-6.217604,106.851555,021 8305006,021 8319677
Kantor Lurah Kebon Baru,Jakarta Selatan,Kec. Tebet,Kel. Kebon Baru,Jl. Asem Baris Raya No.101,-6.232367,106.859392,021 8294447,021 8319680
Kantor Lurah Menteng Dalam,Jakarta Selatan,Kec. Tebet,Kel. Menteng Dalam,Jl. Rasamala III No. 4A RT 03/013,-6.234671,106.836639,021 8292421,021 8319681
Kantor Lurah Tebet Barat,Jakarta Selatan,Kec. Tebet,Kel. Tebet Barat,Jl. Tebet Barat IV / 1,-6.233082,106.848548,021 8304060,021 8304060
Kantor Lurah Manggarai Selatan,Jakarta Selatan,Kec. Tebet,Kel. Manggarai Selatan,Jl. Rambutan No. IV/D RT 004 RW 07,-6.217682,106.847115,021 8303560,021 8303560
Kantor Lurah Tebet Timur,Jakarta Selatan,Kec. Tebet,Kel. Tebet Timur,Jl. Tebet Timur Dalam III M/15,-6.228593,106.858,021 8319682,021 83787297
Kantor Lurah Bukit Duri,Jakarta Selatan,Kec. Tebet,Kel. Bukit Duri,Jl. Kampung Melayu Kecil III No. 12 ,-6.224226,106.861295,021 8305311,021 8305311
Kantor Camat Pancoran,Jakarta Selatan,Kec. Pancoran,Kel. Pengadegan,Jl. Pengadegan Timur II/2,-6.248719,106.86007,021 7971186,021 7971186
Kantor Lurah Rawajati,Jakarta Selatan,Kec. Pancoran,Kel. Rawajati,Jl. Rawajati Barat Rt 006/04,-6.260247,106.852472,021 7996204,021 7902273
Kantor Lurah Pancoran,Jakarta Selatan,Kec. Pancoran,Kel. Pancoran,Jl. Pancoran Barat III No 55 RT. 02/06,-6.248645,106.840984,021 7994107,021 7994107
Kantor Lurah Cikoko,Jakarta Selatan,Kec. Pancoran,Kel. Cikoko,Jl. Cikoko Barat III No. 45 RT 005/05,-6.246327,106.852776,021 7989753,021 7902271
Kantor Lurah Duren Tiga,Jakarta Selatan,Kec. Pancoran,Kel. Duren Tiga,Jl. Minyak I RT 005 RW 06,-6.25416,106.836715,021 7992718,021 7402269
Kantor Lurah Pengadegan,Jakarta Selatan,Kec. Pancoran,Kel. Pengadegan,Jl. Pengadegan Timur I RT 002/01,-6.250877,106.861189,021 7970707,021 7970707
Kantor Lurah Kalibata,Jakarta Selatan,Kec. Pancoran,Kel. Kalibata,Jl. Kalibata Timur IV,-6.262333,106.847113,021 7995563,021 7995563
Kantor Camat Mampang Prapatan,Jakarta Selatan,Kec. Mampang Prapatan,Kel. Tegal Parang,"Jl. Mampang Prapatan XII, RT.3/RW.6",-6.251473,106.824602,021 79191442,021 79191442
Kantor Lurah Bangka,Jakarta Selatan,Kec. Mampang Prapatan,Kel. Bangka,Jl. Duren Bangka,-6.259325,106.825994,021 7990012,021 7901161
Kantor Lurah Mampang Prapatan,Jakarta Selatan,Kec. Mampang Prapatan,Kel. Mampang Prapatan,"Jl. Mampang Prapatan IV, Gg. M RT 008/05",-6.244954,106.828872,021 7991338,021 7983273
Kantor Lurah Pela Mampang,Jakarta Selatan,Kec. Mampang Prapatan,Kel. Pela Mampang,Jl. Bangka X Ujung,-6.252959,106.811305,021 7182380,021 7182380
Kantor Lurah Kuningan Barat,Jakarta Selatan,Kec. Mampang Prapatan,Kel. Kuningan Barat,Jl. Kuningan Barat I,-6.236647,106.820641,021 5256717,021 5256717
Kantor Lurah Tegal Parang,Jakarta Selatan,Kec. Mampang Prapatan,Kel. Tegal Parang,Jl. Tegal Parang Selatan V RT 008 RW 04,-6.249551,106.83353,021 7974974,021 7902278
Kantor Camat Kebayoran Lama,Jakarta Selatan,Kec. Kebayoran Lama,Kel. Keb. Lama Selatan,Jl. Ciputat Raya No. 1 Keb. Lama,-6.249492,106.778543,021 7208053,021 7251500
Kantor Lurah Keb. Lama Selatan,Jakarta Selatan,Kec. Kebayoran Lama,Kel. Keb. Lama Selatan,Jl. Bungur Raya No. 1,-6.246255,106.78318,021 7262732,021 7204043
Kantor Lurah Pondok Pinang,Jakarta Selatan,Kec. Kebayoran Lama,Kel. Pondok Pinang,Jl. Pondok Pinang VII No. 1,-6.269787,106.7759,021 7690914,021 75910560
Kantor Lurah Grogol Utara,Jakarta Selatan,Kec. Kebayoran Lama,Kel. Grogol Utara,Jl. Kemandoran I No. 99,-6.210919,106.789311,021 5480785,021 5480785
Kantor Lurah Keb. Lama Utara,Jakarta Selatan,Kec. Kebayoran Lama,Kel. Keb. Lama Utara,Jl. Ciputat Raya No. 1A,-6.241941,106.781189,021 7222816,021 7222816
Kantor Lurah Grogol Selatan,Jakarta Selatan,Kec. Kebayoran Lama,Kel. Grogol Selatan,Jl. Kubur Islam,-6.23038,106.783449,021 7210317,021 7251945
Kantor Lurah Cipulir,Jakarta Selatan,Kec. Kebayoran Lama,Kel. Cipulir,Jl. Samudera I No 1,-6.239276,106.776349,021 7222353,021 7222353
Kantor Camat Kebayoran Baru,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Gunung,Jl. Kerinci IX Blok E/1 Kebayoran Baru,-6.240066,106.788669,021 7201314,021 7250460
Kantor Lurah Senayan,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Senayan,Jl. Tulodong Bawah X No. 3,-6.228791,106.811256,021 5736501,021 5736501
Kantor Lurah Rawa Barat,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Rawa Barat,Jl. Senayan No. 30 ,-6.238151,106.816269,021 7220409,021 7220409
Kantor Lurah Melawai,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Melawai,Jl. Wijaya IX No. 14,-6.248446,106.802731,021 7246819,021 7246819
Kantor Lurah Cipete Utara,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Cipete Utara,Jl. Sawo III No. 10 RT. 009/07 ,-6.262733,106.803077,021 7209824,021 7209824
Kantor Lurah Gandaria Utara,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Gandaria Utara,Jl. Taman Radio Dalam VII,-6.257229,106.787984,021 7208566,021 7208566
Kantor Lurah Petogogan,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Petogogan,Jl. Wijaya Timur Raya No. 1,-6.24418,106.813833,021 72790654,021 72790654
Kantor Lurah Gunung,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Gunung,Jl. Bujana Dalam No. 7 RT 10 RW 01,-6.234648,106.788375,021 7234586,021 7234586
Kantor Lurah Pulo,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Pulo ,Jl. Prapanca Raya No. 5,-6.250743,106.809864,021 7207449,021 7222109
Kantor Lurah Selong,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Selong,Jl. Bakti Gg. Limo No. 1,-6.231998,106.814323,021 5260937,021 5260937
Kantor Lurah Kramat Pela,Jakarta Selatan,Kec. Kebayoran Baru,Kel. Kramat Pela ,Jl. Gandaria Tengah V No. 2,-6.244897,106.790612,021 7245537,021 7245537
Kantor Camat Pesanggrahan,Jakarta Selatan,Kec. Pesanggrahan,Kel. Pesanggrahan,Jl. Pesanggrahan Raya No. 2,-6.257046,106.756853,021 7360821,021 7360822
Kantor Lurah Pesanggrahan,Jakarta Selatan,Kec. Pesanggrahan,Kel. Pesanggrahan,Jl. Pesanggrahan Raya No. 1,-6.257105,106.757164,021 7363249,021 7363249
Kantor Lurah Bintaro,Jakarta Selatan,Kec. Pesanggrahan,Kel. Bintaro,Jl. RC. Veteran No. 1 RT 001/03,-6.273001,106.764721,021 7365089,021 7365089
Kantor Lurah Ulujami,Jakarta Selatan,Kec. Pesanggrahan,Kel. Ulujami,Jl. Ulujami Raya No. 1,-6.245426,106.762181,021 73691346,021 73691346
Kantor Lurah Petukangan Utara,Jakarta Selatan,Kec. Pesanggrahan,Kel. Petukangan Utara,Jl. Masjid Darul Falah No. 1 RT. 003/04,-6.227044,106.753007,021 7365348,021 7365348
Kantor Lurah Petukangan Selatan,Jakarta Selatan,Kec. Pesanggrahan,Kel. Petukangan Selatan,Jl. Damai PDK I No. 2,-6.249476,106.752904,021 7359777,021 7359777
Kantor Camat Cilandak,Jakarta Selatan,Kec. Cilandak,Kel. Cilandak Barat,Jl. KH. Muhasyim Raya No. 1,-6.291425,106.791,021 7507232,021 7507450
Kantor Lurah Cilandak Barat,Jakarta Selatan,Kec. Cilandak,Kel. Cilandak Barat,Jl. Terogong III,-6.282246,106.791863,021 7512656,021 7669517
Kantor Lurah Pondok Labu,Jakarta Selatan,Kec. Cilandak,Kel. Pondok Labu,Jl. Swakarya Bawah RT 002 RW 09 No. 1,-6.306322,106.798473,021 7690032,021 7690032
Kantor Lurah Lebak Bulus,Jakarta Selatan,Kec. Cilandak,Kel. Lebak Bulus,Jl. Manunggal Jaya RT. 008/04,-6.304672,106.784393,021 7513452,021 7698801
Kantor Lurah Gandaria Selatan,Jakarta Selatan,Kec. Cilandak,Kel. Gandaria Selatan,Jl. Mangga No. 24,-6.270589,106.793997,021 7691751,021 7691751
Kantor Lurah Cipete Selatan,Jakarta Selatan,Kec. Cilandak,Kel. Cipete Selatan,Jl. Palem No. 17A RT 014/03,-6.274084,106.798793,021 7692042,021 7692042
Kantor Camat Pasar Minggu,Jakarta Selatan,Kec. Pasar Minggu,Kel. Jatipadang,Jl. Raya Ragunan No. 16 Pasar Minggu,-6.28476,106.835412,021 7806296,021 7806296
Kantor Lurah Pejaten Timur,Jakarta Selatan,Kec. Pasar Minggu,Kel. Pejaten Timur,Jl. Swadaya I RT 006 RW 10,-6.294484,106.845311,021 7806188,021 7806188
Kantor Lurah Pasar Minggu,Jakarta Selatan,Kec. Pasar Minggu,Kel. Pasar Minggu,Jl. Raya Ragunan No. 16,-6.285706,106.840462,021 7805716,021 7805716
Kantor Lurah Jatipadang,Jakarta Selatan,Kec. Pasar Minggu,Kel. Jatipadang,Jl. Raya Ragunan RT 008/01,-6.286011,106.831808,021 7805715,021 78843230
Kantor Lurah Ragunan,Jakarta Selatan,Kec. Pasar Minggu,Kel. Ragunan,Jl. Saco No. 1,-6.305311,106.819474,021 7812816,021 7812816
Kantor Lurah Cilandak Timur,Jakarta Selatan,Kec. Pasar Minggu,Kel. Cilandak Timur,Jl. Bhakti No. 48 A,-6.307066,106.810591,021 7891556,021 7812282
Kantor Lurah Kebagusan ,Jakarta Selatan,Kec. Pasar Minggu,Kel. Kebagusan,Jl. Kebagusan Dalam IV RT 009/05 No. 1 ,-6.305348,106.819536,021 78833689,021 7806344
Kantor Lurah Pejaten Barat,Jakarta Selatan,Kec. Pasar Minggu,Kel. Pejaten Barat,Jl. Siaga Raya No. 1 RT 012 / 04,-6.269907,106.837677,021 7987689,021 7987689
Kantor Camat Jagakarsa,Jakarta Selatan,Kec. Jagakarsa,Kel. Jagakarsa,Jl. Sirsak No. 2 Jagakarsa,-6.334399,106.821343,021 7270912,021 7867686
Kantor Lurah Cipedak,Jakarta Selatan,Kec. Jagakarsa,Kel. Cipedak,Jl. Pinding No. 1 RT 001/01,-6.344783,106.802565,021 7271110,021 7271110
Kantor Lurah Lenteng Agung,Jakarta Selatan,Kec. Jagakarsa,Kel. Lenteng Agung,Jalan Agung Raya I RT. 009 RW. 02,-6.323819,106.837398,021 7873637,021 7873637
Kantor Lurah Tanjung Barat,Jakarta Selatan,Kec. Jagakarsa,Kel. Tanjung Barat,Jl. Rancho Indah RT 008/02,-6.309626,106.850572,021 7891975,021 7891975
Kantor Lurah Srengseng Sawah,Jakarta Selatan,Kec. Jagakarsa,Kel. Srengseng Sawah,Jl. Raya Srengseng Sawah No. 8,-6.345608,106.830956,021 78883584,021 78883584
Kantor Lurah Jagakarsa,Jakarta Selatan,Kec. Jagakarsa,Kel. Jagakarsa,Jl. Jagakarsa 2 No.1 RT.01 RW.07,-6.328401,106.822541,021 7270954,021 7270954
Kantor Lurah Ciganjur,Jakarta Selatan,Kec. Jagakarsa,Kel. Ciganjur,Jalan Anda No. 1B RT 007/03,-6.338143,106.810537,021 7866054,021 7873642
Kantor Walikota Jakarta Timur,Jakarta Timur,Kec. Cakung,Kel. Pulo Gebang,Jl. Sentra Timur Pulo Gebang ,-6.214097,106.944111,021 48702407,021 48702433 / 48702159
Kantor Camat Matraman,Jakarta Timur,Kec. Matraman,Kel. Utan Kayu Utara,Jl. Balai Rakyat Utan Kayu Utara ,-6.197469,106.869184,021 8513252,021 8513252
Kantor Lurah Palmeriam,Jakarta Timur,Kec. Matraman,Kel. Palmeriam,Jl. Kayu Manis I Lama,-6.206925,106.861568,021 8517166,021 8517166
Kantor Lurah Kayu Manis,Jakarta Timur,Kec. Matraman,Kel. Kayu Manis,Jl. Kayu Manis VIII No.36,-6.206877,106.863378,021 8516062,021 8516062
Kantor Lurah Pisangan Baru,Jakarta Timur,Kec. Matraman,Kel. Pisangan Baru,Jl. Pisangan Baru Utara RT. 007/014 ,-6.209251,106.871104,021 8505372,021 8516161
Kantor Lurah Utan Kayu Utara,Jakarta Timur,Kec. Matraman,Kel. Utan Kayu Utara,Jl. Kemuning No 42 ,-6.198169,106.865123,021 8505154,021 8516162
Kantor Lurah Kebon Manggis,Jakarta Timur,Kec. Matraman,Kel. Kebon Manggis,Jl. Kebon Manggis I,-6.205613,106.855637,021 8565567,021 8565567
Kantor Lurah Utan Kayu Selatan,Jakarta Timur,Kec. Matraman,Kel. Utan Kayu Selatan,Jl. Galur Sari Timur No.1 RT.015/01,-6.200648,106.868821,021 8516163,021 8516163
Kantor Camat Jatinegara,Jakarta Timur,Kec. Jatinegara,Kel. Cipinang Cempedak,Jl. D.I. Panjaitan Kav. 8 ,-6.228328,106.874508,021 85914535,021 85914535
Kantor Lurah Rawabunga,Jakarta Timur,Kec. Jatinegara,Kel. Rawabunga,Jl. Jatinegara Timur IV,-6.221778,106.869846,021 8192468,021 8516060
Kantor Lurah Cip. Cempedak,Jakarta Timur,Kec. Jatinegara,Kel. Cip. Cempedak,Jl. Panti Asuhan No. 32 RT. 013/01,-6.228245,106.874097,021 8516059,021 8516059
Kantor Lurah Cip. Besar Utara,Jakarta Timur,Kec. Jatinegara,Kel. Cip. Besar Utara,Jl. Swadaya No. 2 RT.006 RW.14,-6.217546,106.882302,021 8505212,021 8516057
Kantor Lurah Bidaracina,Jakarta Timur,Kec. Jatinegara,Kel. Bidaracina,Jl. Tanjung Lengkong No. 30,-6.239849,106.867441,021 8192371,021 8192371
Kantor Lurah Kampung Melayu,Jakarta Timur,Kec. Jatinegara,Kel. Kamp. Melayu,Jl. Kebon Pala I No.32 RT 003 RW 05,-6.214419,106.859681,021 8192534,021 8192534
Kantor Lurah Cipinang Muara,Jakarta Timur,Kec. Jatinegara,Kel. Cipinang Muara,Jl. Cipinang Muara Raya 1 RT.002 RW.03,-6.22689,106.886142,021 8191284,021 8516058
Kantor Lurah Balimester,Jakarta Timur,Kec. Jatinegara,Kel. Balimester,Jl Jatinegara Barat II No. 19 RT.12/RW.03,-6.220185,106.866838,021 8191162,021 8191162
Kantor Lurah Cip. Besar Selatan,Jakarta Timur,Kec. Jatinegara,Kel. Cip. Besar Selatan,Jalan Cipinang Jaya Gg. Ujung,-6.224268,106.883145,021 8191146,021 8191146
Kantor Camat Kramatjati,Jakarta Timur,Kec. Kramatjati,Kel. Kramatjati,Jalan Raya Bogor KM. 20,-6.284982,106.871612,021 8009165,021 8092783
Kantor Lurah Cawang,Jakarta Timur,Kec. Kramatjati,Kel. Cawang,Jl. Ja'ani Nasir No.7 RT.001/10 ,-6.250222,106.868379,021 8092643,021 8092643
Kantor Lurah Cililitan ,Jakarta Timur,Kec. Kramatjati,Kel. Cililitan,Jl. Mandala V Gg. Ali Sarbi II No.46,-6.260432,106.870062,021 8090825,021 8005605
Kantor Lurah Kramatjati,Jakarta Timur,Kec. Kramatjati,Kel. Kramatjati,Jl/ Kerja Bhakti No. 32 RT.02 RW.10 ,-6.277326,106.871881,021 8005607,021 8007033
Kantor Lurah Batu Ampar,Jakarta Timur,Kec. Kramatjati,Kel. Batu Ampar,Jl. Batu Ampar II RT.006 RW.03 Kel. Batu Ampar ,-6.282928,106.85893,021 8098060,021 8005609
Kantor Lurah Balekambang,Jakarta Timur,Kec. Kramatjati,Kel. Balekambang,Jl. Gardu/Kober RT. 009 RW.02,-6.281622,106.850218,021 8096875,021 8005584
Kantor Lurah Tengah ,Jakarta Timur,Kec. Kramatjati,Kel. Tengah,Jl. Masjid Al Bariyah No.40B RT.011/04,-6.290255,106.864792,021 8400647,021 8400647
Kantor Lurah Dukuh,Jakarta Timur,Kec. Kramatjati,Kel. Dukuh,Jl. Dukuh V RT.07/02,-6.292104,106.877223,021 8407689,021 8407689
Kantor Camat Cakung,Jakarta Timur,Kec. Cakung,Kel. Cakung Barat,Jalan Raya Bekasi Km. 23 RT.01 RW. 02,-6.182997,106.939931,021 46833775,021 46833775
Kantor Lurah Jatinegara,Jakarta Timur,Kec. Cakung,Kel. Jatinegara,Jl. Raya Bekasi Km.18,-6.197531,106.905384,021 4618711,021 4618711
Kantor Lurah Rawaterate,Jakarta Timur,Kec. Cakung,Kel. Rawaterate,Jl. DR.KRT.Radjiman Widyodinigrat No.9 RT.002 RW 04,-6.185854,106.922913,021 4602445,021 4602445
Kantor Lurah Penggilingan,Jakarta Timur,Kec. Cakung,Kel. Penggilingan,Jl. Komp. PIK Penggilingan,-6.202838,106.931094,021 4600927,021 4600927
Kantor Lurah Cakung Barat,Jakarta Timur,Kec. Cakung,Kel. Cakung Barat,Jl Tipar Cakung Pool PPD Depo C RT.002/07,-6.173563,106.93351,021 4601748,021 4618714
Kantor Lurah Cakung Timur,Jakarta Timur,Kec. Cakung,Kel. Cakung Timur,Jalan Irigasi Gempol No.1 RT.003 RW.01 ,-6.183502,106.957708,021 4600915,021 4600915
Kantor Lurah Ujung Menteng,Jakarta Timur,Kec. Cakung,Kel. Ujung Menteng,Jl. Raya Bekasi Km. 26,-6.187648,106.962236,021 4618710,021 4618710
Kantor Lurah Pulogebang,Jakarta Timur,Kec. Cakung,Kel. Pulogebang,Jl. Raya Pulogebang RT. 06 RW. 03,-6.216119,106.954549,021 48700917,021 48700917
Kantor Camat Pulogadung,Jakarta Timur,Kec. Pulogadung,Kel. Pulogadung,Jl Raya Bekasi KM. 18,-6.198503,106.904538,021 47881652,021 47881652
Kantor Lurah Pulogadung,Jakarta Timur,Kec. Pulogadung,Kel. Pulogadung,Jalan Kayu Putih IV RT.06 RW.05,-6.185902,106.893786,021 4715115,021 4715115
Kantor Lurah Pisangan Timur,Jakarta Timur,Kec. Pulogadung,Kel. Pisangan Timur,Jl. H. Mugeni II/ 2,-6.208508,106.877128,021 4754762,021 4754762
Kantor Lurah Cipinang ,Jakarta Timur,Kec. Pulogadung,Kel. Cipinang   ,Jl. Cipinang Empang I RT.004 /15 ,-6.208867,106.895363,021 4891817,021 4754869
Kantor Lurah Kayu Putih,Jakarta Timur,Kec. Pulogadung,Kel. Kayu Putih,Jl. Genteng No.2 RT.03 RW.01,-6.186078,106.887453,021 4894412,021 4754769
Kantor Lurah Jatinegara Kaum,Jakarta Timur,Kec. Pulogadung,Kel. Jatinegara Kaum,Jl. TB. Baddarudin No.1 RT.001/05,-6.209146,106.897742,021 4751119,021 4754764
Kantor Lurah Jati,Jakarta Timur,Kec. Pulogadung,Kel. Jati,Jl. Perhubungan Raya No. 4 RT.005/06,-6.199423,106.900225,021 4723536,021 47869719
Kantor Lurah Rawamangun,Jakarta Timur,Kec. Pulogadung,Kel. Rawamangun,Jl. Rawamangun Muka Barat No.3,-6.198972,106.880676,021 4722029,021 4754772
Kantor Camat Pasar Rebo,Jakarta Timur,Kec. Pasar Rebo ,Kel. Pekayon,Jl. Raya bogor KM. 27,-6.339764,106.869918,021 8710233,021 8711217
Kantor Lurah Gedong,Jakarta Timur,Kec. Pasar Rebo ,Kel. Gedong,Jalan H. Taiman No. 20 RT. 002 RW. 09 ,-6.301494,106.865852,021 8400035,021 8400035
Kantor Lurah Cijantung,Jakarta Timur,Kec. Pasar Rebo ,Kel. Cijantung,Jl. Raya Gongseng No. 88 RT.001 RW.10 ,-6.324733,106.861983,021 87714747,021 87714747
Kantor Lurah Baru ,Jakarta Timur,Kec. Pasar Rebo ,Kel. Baru,Jl. Puskesmas RT.008 RW.01,-6.323461,106.851069,021 8400336,021 8416450
Kantor Lurah Kalisari,Jakarta Timur,Kec. Pasar Rebo ,Kel. Kalisari,Jl. Kalisari Raya RT 011/02 ,-6.337281,106.855849,021 8710995,021 8727565
Kantor Lurah Pekayon,Jakarta Timur,Kec. Pasar Rebo ,Kel. Pekayon,Jl. Madrasah RT.003/09 ,-6.343079,106.861852,021 8719018,021 8727634
Kantor Camat Duren Sawit,Jakarta Timur,Kec. Duren Sawit,Kel. Duren Sawit,Jl. Swadaya VII No. 1 ,-6.233089,106.918125,021 8614108,021 8614110
Kantor Lurah Klender,Jakarta Timur,Kec. Duren Sawit,Kel. Klender,Jl. Bulak Timur 1 No.12,-6.216812,106.908209,021 8614773,021 8631962
Kantor Lurah Pondok Bambu,Jakarta Timur,Kec. Duren Sawit,Kel. Pondok Bambu,Jl.Pahlawan Revolusi No.147,-6.235402,106.895585,021 8615784,021 8631963
Kantor Lurah Duren Sawit,Jakarta Timur,Kec. Duren Sawit,Kel. Duren Sawit,Jl.Kelurahan Raya No.1,-6.23069,106.914643,021 8615183,021 8631959
Kantor Lurah Malaka Sari,Jakarta Timur,Kec. Duren Sawit,Kel. Malaka Sari,"Jl. Malaka Raya No.2, RT.3/RW.10",-6.227572,106.927933,021 8614774,021 8614774
Kantor Lurah Malaka Jaya,Jakarta Timur,Kec. Duren Sawit,Kel. Malaka Jaya,Jl Raya Teratai Putih No.1 RT.08/06,-6.222106,106.932476,021 8631964,021 8631964
Kantor Lurah Pondok Kopi ,Jakarta Timur,Kec. Duren Sawit,Kel. Pondok Kopi,Jl Arabika 3 Blok W.7 RT.009/06,-6.229299,106.944619,021 8614772,021 8631961
Kantor Lurah Pondok Kelapa,Jakarta Timur,Kec. Duren Sawit,Kel. Pondok Kelapa,Jl. H. Dogon Timur I No 32 RT.16 RW. 02,-6.240095,106.934856,021 8645513,021 8645513
Kantor Camat Makasar,Jakarta Timur,Kec. Makasar,Kel. Makasar,Jl. Lembur No.1 ,-6.279282,106.878423,021 8009613,021 8009605
Kantor Lurah Cipinang Melayu,Jakarta Timur,Kec. Makasar,Kel. Cipinang Melayu,Jl. Inspeksi Tarum Barat No. 1,-6.244576,106.898399,021 86608247,021 86608247
